family,day1_auc,day1_slope,day2_auc,day2_slope,cumulative_mean_auc,cumulative_mean_slope,day1_vs_day2_perc_change_slope,day1_vs_day2_perc_change_auc,day1_vs_day2_ratio_slope,day1_vs_day2_ratio_auc
35,11.217976474226907,3.257022482980998,5.308085033406488,1.7528829021565897,9.019449011942717,2.7216507677723105,-85.80947301008241,-111.33754270375202,1.8580947301008242,2.11337542703752
36,13.03246599718833,4.035937549416674,4.964417357180091,1.6167640461470383,10.299739844927474,3.2165400725027653,-149.63058518247266,-162.51753346924656,2.4963058518247263,2.6251753346924653
37,9.074649805294428,2.8296637441182626,4.064531999911227,1.5877861067502068,7.325480844573604,2.415704531662244,-78.21441641845969,-123.26432183318093,1.782144164184597,2.2326432183318095
38,13.879911338297044,3.5355100181184107,4.563389494376734,1.7117290832437262,10.692680181166413,2.9115849614507554,-106.54612068742912,-204.15793688881158,2.065461206874291,3.0415793688881156
39,11.381557160839876,3.565350748694512,5.37380708654198,1.9574252656021953,9.30991920418543,3.01089368555923,-82.14492330043794,-111.79690631886554,1.8214492330043794,2.1179690631886556
42,9.443253278079828,2.7821506020587847,5.719347219240602,1.839682152534938,8.201951258466753,2.4679944522175026,-51.229961013928346,-65.11068337154875,1.5122996101392836,1.6511068337154875
43,14.128465511123984,4.005186883712069,5.291239651882576,1.9283480060099798,11.10520403296245,3.294689372919249,-107.70041876410875,-167.01617089101606,2.0770041876410876,2.6701617089101606
48,12.380715247442321,3.5518605312661395,6.053211337586207,2.2823196543141213,10.289421582320385,3.132266512612506,-55.625024941282305,-104.53135628301531,1.5562502494128232,2.045313562830153
52,9.154947904919787,2.7035879413829753,2.9644785881574736,1.1285891440846554,6.754847541412502,2.183037491428446,-139.5546648267405,-208.8215223240963,2.3955466482674046,3.088215223240963
53,8.300689069173387,2.837900819822658,2.9998373503764495,1.1866791046796912,6.484226044517726,2.292158049563542,-139.1464388840541,-176.70463760749345,2.391464388840541,2.767046376074934
57,12.257779398665264,3.64598647607887,6.4920989127304916,2.0849573687810348,10.254449738298096,3.1035950065940288,-74.87103240918958,-88.81073075810242,1.748710324091896,1.8881073075810244
60,11.818482440986646,3.7183273239386683,3.8611155162137294,1.4927199988263895,9.092347476018146,2.9558507403353875,-149.09744137293677,-206.08984350139403,2.4909744137293677,3.0608984350139403
62,15.075366312330758,4.438244584003357,3.045007544838643,1.1691722605177535,11.032376890468653,3.3396219179139326,-279.60570344338606,-395.0846948764986,3.796057034433861,4.950846948764986
65,13.98429403631751,4.337133848534164,2.8408521802805056,1.1135754260152062,10.20521375470496,3.2439270791581696,-289.4782290638425,-392.2570112372655,3.8947822906384246,4.922570112372655
66,5.907126066458426,1.8732585512655093,3.0104816301792665,1.253028410574136,4.967673816854375,1.672102829960199,-49.49848985524475,-96.21863848100185,1.4949848985524474,1.9621863848100185
67,5.500171879335606,1.7080995677361828,6.4522910145511965,2.3375713624210848,5.822790759863203,1.9213916634558603,26.928452530019932,14.75629560211052,0.7307154746998007,0.8524370439788947
68,8.298770782936803,2.5671678130591835,5.180100683961056,1.9681086699291275,7.166644745299839,2.362611032478189,-30.438316353315408,-60.204816262200524,1.3043831635331542,1.6020481626220053
69,10.191824079717543,3.033739483356234,6.89855055638898,2.4192260695400956,9.113495580928545,2.8325271266199765,-25.401239741640175,-47.73862996884978,1.2540123974164017,1.4773862996884977
70,10.785068295961645,3.028588921211814,6.076621413560275,1.8039100624012634,9.215586001827855,2.6203626349416305,-67.8902393382255,-77.48461788148005,1.6789023933822549,1.7748461788148004
71,11.049393779143069,3.1521494900939775,6.2799892995718425,2.3451846164769443,9.45959228595266,2.8831611988883,-34.40943915235539,-75.94606060708408,1.344094391523554,1.7594606060708406
72,15.95274155997082,4.529531378810964,5.608530620441569,2.138449476500145,12.474946502715296,3.725633153034051,-111.81381316635735,-184.43709483955413,2.1181381316635735,2.8443709483955413
73,9.321316293027728,2.9049625900339855,5.154260036186818,2.0153853546576457,7.906089639761003,2.6028420195288136,-44.13931228191606,-80.8468379085458,1.4413931228191605,1.8084683790854579
74,10.683467234722894,3.3971850325254267,3.5112347573940705,1.344400888579702,8.314069005605335,2.719033127829071,-152.69137066060682,-204.26525062801076,2.5269137066060683,3.0426525062801075
76,9.468523752075688,3.162918437911689,3.8512131602838955,1.1660977170274953,7.661215126890503,2.5204630755402526,-171.23957038302913,-145.85821033540785,2.7123957038302913,2.4585821033540785
77,15.076273512440075,3.9420476577034993,6.7034488100341845,2.4575057086547654,12.145784866598014,3.4224579755364424,-60.40848425379121,-124.90323920834403,1.6040848425379122,2.2490323920834405
80,12.794388549525644,3.5321329480072223,6.335604935370034,2.2961824407853464,10.56722178602371,3.105943117930713,-53.82631995039353,-101.94422916267871,1.5382631995039353,2.0194422916267873
82,9.785983294633647,3.356275089044246,4.7972557555361,1.6762808336837713,8.092562019894114,2.786001809701699,-100.22152741963544,-103.9912773743715,2.0022152741963546,2.039912773743715
83,12.315998570591285,4.032405880440998,6.662338085786796,2.2688006109433583,10.304194273872241,3.439043359862353,-77.73293347114975,-84.86000578184128,1.7773293347114976,1.8486000578184127
84,13.279901588654125,4.014999528314804,6.91658587499266,2.3115534507750883,11.232573924258697,3.4669342685846343,-73.69269687311501,-92.00081989393672,1.7369269687311502,1.9200081989393674
85,13.674574657136619,3.997907452426835,4.6081253116026675,1.7389449100487129,10.677401319770022,3.251142975607621,-129.90420394139124,-196.74919262082122,2.299042039413912,2.9674919262082122
