family,day1_auc,day1_slope,day2_slope,day2_auc,cumulative_mean_auc,cumulative_mean_slope,day1_vs_day2_perc_change_slope,day1_vs_day2_perc_change_auc,day1_vs_day2_ratio_slope,day1_vs_day2_ratio_auc
35,9.413738888906328,2.6946354817935756,1.5777381316355745,4.804906502593988,7.789806613602762,2.319357972140487,-70.79104749786079,-95.91929382651267,1.707910474978608,1.9591929382651267
36,21.15967655789598,6.5305948233772115,2.9931391254139776,9.182982614911936,17.103054415917516,5.332424345034826,-118.18547517312521,-130.42270082854668,2.1818547517312523,2.3042270082854666
37,7.539801232260349,2.308896224585935,1.3963833683100588,3.5645376070737504,6.095326363238165,2.0047252724939764,-65.34830455480318,-111.52256094304549,1.6534830455480318,2.115225609430455
38,11.366162878049874,2.9395814557424758,1.566504396170499,4.187829984026476,8.95424302565801,2.4782275637262914,-87.6522953225425,-171.4093676534987,1.8765229532254248,2.714093676534987
39,8.192292512978415,2.494285480216428,1.501830922642865,4.121524112597641,6.770475483538233,2.1634672943585738,-66.08297529438795,-98.76852079885376,1.6608297529438796,1.9876852079885374
42,8.618303227827232,2.5268139774207774,1.835931601624053,5.800961437283724,7.656284079836766,2.2909029222706767,-37.63116094224721,-48.56680777837952,1.376311609422472,1.4856680777837952
43,11.276856001991703,3.1912602610765624,1.692091628133716,4.638857473266065,9.02850166161689,2.6834773370152756,-88.59854915755047,-143.09554813832304,1.8859854915755048,2.43095548138323
48,10.235047361901287,2.946689675717087,2.276442573716894,6.08533687834778,8.840744639427308,2.721486649445022,-29.44274148351731,-68.19195989491692,1.294427414835173,1.681919598949169
52,8.137613215948434,2.4265306673482754,1.1071506987002095,2.8854683812438915,6.091166562027171,1.9867373444655867,-119.16895958219713,-182.02052979836864,2.191689595821971,2.8202052979836862
53,6.729687800666803,2.3176454384342953,1.306756636197504,3.2808506463621336,5.53209382679818,1.9806825043553646,-77.35861247878177,-105.1202119830966,1.7735861247878177,2.051202119830966
57,11.08019876097149,3.294256523882578,1.9923640909841824,6.219865585456335,9.460087702466438,2.8602923795831123,-65.34410245545483,-78.14209340600347,1.6534410245545483,1.7814209340600347
